player,final_rating_avg,final_rating_human,final_rating_ai
Daniel Ginczek,4.890931374774873,5.214168752399222,5.041086802201812
Danilo,7.176620694538446,6.534198368971466,7.839565332837195
Danny Latza,6.462312991839408,5.316016773035675,7.466556941049888
Danny Simpson,4.679681971040832,4.592006052269565,4.529533732237301
Danny Welbeck,6.666994748609207,7.163103301831583,6.133197981802802
Darren Fletcher,4.543695055929555,5.158562018396697,3.786775823869159
Daryl Janmaat,6.2569158264129365,6.052213294012726,6.319566089219892
David Abraham,7.493929809547138,7.969163144561436,7.4503333383482016
David Alaba,7.747974987673264,8.03100600508559,8.025343719409674
David Silva,14.63863337784241,16.101798135275953,12.4102176564607
David de Gea,5.54032046262546,8.72353528950142,2.2150533661562504
Davide Zappacosta,4.976071525107849,5.729196558462588,4.529414657154441
Davie Selke,7.245567811716649,6.8184671748991965,7.922043452346948
Davinson Sanchez,6.727491812298899,6.588109103027057,6.216116490874002
Davy Propper,5.306358690850337,4.982668921774351,5.455307614763345
Dayot Upamecano,7.385189269646225,6.057999811608927,8.409730225016622
DeAndre Yedlin,5.856267183653862,5.7542354967449025,5.816246600969567
Declan Rice,6.505813192294486,6.299292763595636,6.599325457735918
Dejan Lovren,7.24527334275155,6.9581969046013175,8.167398409423024
Dele Alli,7.846062098362935,6.522656793729476,9.030647610464998
Demarai Gray,4.702630316047272,5.65378050719094,4.1732921607958176
Denis Zakaria,6.7368958967397,7.390101146298031,6.170823657917976
Dennis Aogo,4.576906729517375,5.061297221553831,4.514008650969988
Dennis Diekmeier,5.75367609709246,4.880027944187571,6.485271980404091
Dennis Geiger,7.41398593487068,8.912433823739825,5.830956373631314
Diego Demme,7.932428027725771,8.677331022329753,7.23457502368434
Divock Origi,3.265855630261815,2.667509839111676,4.880542676318831
Dominic Calvert-Lewin,6.959828122542846,6.636648886751389,7.038266513171329
Dominik Kohr,3.5017741318068136,4.456575702784954,4.022276619869667
Dominique Heintz,5.903443982285114,6.317298249753389,5.347537445223584
Douglas Santos,8.278914922472133,6.327730284043073,10.088047291307946
Dusan Tadic,6.554815426540652,6.9912538054709605,5.97632477801709
Dwight Gayle,4.937234505914112,4.534480412971528,5.197936329263439
Eden Hazard,17.918375709972256,15.272522257012074,20.42217689333919
Ederson,7.531003577117783,9.390730258446212,5.0937685276882245
Emil Forsberg,6.329707484789423,5.531808525938273,6.831381624102397
Emiliano Insua,6.633830724078816,5.30668073814574,7.834552169411399
Emre Can,10.061433600629265,8.512117541102608,11.468697390562674
Eric Dier,7.042656839541605,5.2475708710319084,8.700639126364988
Eric Maxim Choupo-Moting,7.613679596681681,7.2934352035479355,7.81573577623139
Erik Lamela,5.454079087751698,5.408699916394348,5.530176629354069
Erik Pieters,5.537318131945807,4.986088500154909,5.946495494143452
Erik Thommy,5.851882611023686,6.526363115233171,5.788504075211247
Etienne Capoue,4.5256761651521895,2.458828143826782,6.3961671470998755
Ezequiel Schelotto,4.373713433264873,5.19840596584841,4.056467483813714
Fabian Delph,8.038270729759425,7.644078556144918,8.582515485540043
Fabian Lustenberger,6.51662072839298,5.697082335690298,7.110095766429225
Federico Fernandez,6.354096631168538,4.83976591596644,6.6901473413460755
Felix Klaus,7.277082605956352,6.960210727969334,7.6751256799223615
Fernandinho,11.882082758704023,11.35799427439331,12.346386353964071
Filip Kostic,3.433313095480583,1.5122137314121011,5.185698107440283
Florent Hadergjonaj,4.495558160573975,4.423358352596149,4.425705698958549
Florian Grillitsch,7.158995701864101,7.047693869301464,7.106285360658758
Florian Kainz,4.841874764096103,5.068568555222449,5.103854464130219
Florian Kath,4.274494577077424,5.891393406176718,4.242161058365583
Florian Lejeune,7.74813428146565,6.185709023470062,9.168507269867982
Franco Di Santo,4.084833041959923,3.9539479499567873,4.569516492719278
Fraser Forster,5.799684227843721,7.130845611118886,4.238887262563479
Frederik Sorensen,4.538894540595997,2.8204941529492267,6.3760375233373505
Gabriel Jesus,7.986399903213836,8.688985836339533,7.388933994928631
Gaetan Bong,4.531228144814978,4.132593759876023,4.787810260160676
Gareth Barry,4.947884289615277,5.127803686267921,4.625912623369378
Gary Cahill,4.65460769824386,2.8648234236291166,6.4193354184857
Gelson Fernandes,4.871782619288239,6.345026929463997,4.614894734444284
Georginio Wijnaldum,5.5694978057628655,6.471820032668905,4.9523251054925534
Gideon Jung,2.3660691557530686,1.181484663093018,4.010702276934358
Giulio Donati,4.093470500629594,3.1217350855531327,5.084835331514935
Glenn Murray,5.400169873931505,5.979170394883512,4.679117083386235
Gotoku Sakai,3.9526716650388742,2.6229287963803247,5.625049168814072
Granit Xhaka,6.297183888611758,3.9139982864405365,8.538317221189708
