player,final_rating_human,final_rating_ai
Bernd Leno,11.261880243960341,3.6538756132774726
Bobby Wood,0.3739725508268044,4.342971211391779
Breel Embolo,6.356875234188813,5.9060581123252325
Bruma,6.770921157884388,7.4352551897947965
Bruno,6.798397691899872,6.517515147110161
Caglar Soyuncu,5.892186892022789,5.061587505529712
Caiuby,8.538314592908094,10.28595536532118
Callum Wilson,6.933603214789172,5.125995465044991
Carlos Salcedo,6.649556584640215,6.05364064324442
Cedric Soares,5.940378261497982,3.941167692874701
Cesar Azpilicueta,10.404216687312074,11.260104995741868
Cesc Fabregas,6.5145663481363885,10.28784532851469
Chadrac Akolo,6.313360366762759,5.423232016324243
Charles Aranguiz,10.452996018903287,8.183571977928699
Charlie Austin,7.180345127263235,6.901001616424719
Charlie Daniels,7.020883111442458,4.623276856777182
Cheikhou Kouyate,2.1382493488547576,6.672291626127878
Chicharito,6.034525149659612,5.295229884983489
Chris Brunt,6.671762063629103,8.067454770480118
Chris Lowe,8.007932655142612,5.950780791715139
Chris Smalling,5.816851821116318,11.558066182910897
Chris Wood,8.201985393089503,5.9927478697803345
Christian Atsu,5.186975711757189,4.620874247701596
Christian Benteke,2.4104653064524024,8.315062057788996
Christian Eriksen,13.971964217121425,14.027856282828271
Christian Fuchs,3.8872224495098977,7.786822491712242
Christian Gentner,8.453008108931245,8.671018956325188
Christian Gunter,7.266297731210773,6.426804126927689
Christian Kabasele,3.9966271182665976,7.586101068468284
Christian Mathenia,6.997605954154711,2.6900189904255383
Christian Pulisic,8.522674391977597,9.520683856369349
Christoph Kramer,7.1108139496502325,8.392315718420466
Christopher Schindler,8.967760337433726,10.606665044026668
Ciaran Clark,5.752738002892888,5.607241157512883
Collin Quaner,5.57747037111826,5.4005846971758995
Corentin Tolisso,5.4838389530218254,8.906694898523567
Craig Dawson,6.274319796519103,8.698959574184656
Cuco Martina,4.100021754015721,8.21387800734454
Dale Stephens,6.941058792575236,6.392194931036231
Dan Gosling,4.023198386043175,4.9219772195459415
Daniel Baier,9.227697108134754,7.212730871642128
Daniel Brosinski,5.364055327282983,6.878984551796939
Daniel Caligiuri,8.732320430462128,15.021740586611562
Daniel Didavi,3.245557668581027,6.5810976816500455
Daniel Ginczek,5.7084033069327855,6.0193755415728045
Danilo,6.917378055943968,8.38211310213595
Danny Latza,5.7562872752816565,8.130669209832648
Danny Simpson,4.967448897136805,4.948292027851843
Danny Welbeck,6.921747901084789,6.025421189698044
Darren Fletcher,5.2513235767142294,4.103379148723465
Daryl Janmaat,5.946539179815641,6.437733741559582
David Abraham,7.788126457264933,7.70931488817671
David Alaba,8.134833438876125,8.509140370717372
David Silva,17.57945443043559,14.056411624589861
David de Gea,10.189299771795552,3.904659614987165
