player
Divock Origi
Dominic Calvert-Lewin
Dominik Kohr
Dominique Heintz
Douglas Santos
Dusan Tadic
Dwight Gayle
Eden Hazard
Ederson
Emil Forsberg
Emiliano Insua
Emre Can
Eric Dier
Eric Maxim Choupo-Moting
Erik Lamela
Erik Pieters
Erik Thommy
Etienne Capoue
Ezequiel Schelotto
Fabian Delph
Fabian Lustenberger
Federico Fernandez
Felix Klaus
Fernandinho
Filip Kostic
Florent Hadergjonaj
Florian Grillitsch
Florian Kainz
Florian Kath
Florian Lejeune
Franco Di Santo
Fraser Forster
Frederik Sorensen
Gabriel Jesus
Gaetan Bong
Gareth Barry
Gary Cahill
Gelson Fernandes
Georginio Wijnaldum
Gideon Jung
Giulio Donati
Glenn Murray
Gotoku Sakai
Granit Xhaka
Grzegorz Krychowiak
Guido Burgstaller
Gylfi Sigurdsson
Hal Robson-Kanu
Harry Kane
Harry Maguire
Hector Bellerin
Henrikh Mkhitaryan
Heurelho Gomes
Holger Badstuber
Hugo Lloris
Idrissa Gueye
Ihlas Bebou
Ilkay Gundogan
Isaac Hayden
Ishak Belfodil
Ja-Cheol Koo
Jack Butland
Jack Cork
Jack Stephens
Jack Wilshere
Jacob Murphy
Jake Livermore
Jamaal Lascelles
James McArthur
James McClean
James Milner
James Rodriguez
James Tarkowski
James Tomkins
James Ward-Prowse
Jamie Vardy
Jan Vertonghen
Janik Haberer
Jannik Vestergaard
Javi Martinez
Javier Manquillo
Jay Rodriguez
Jean-Kevin Augustin
Jean-Philippe Gbamin
Jeff Hendrick
Jeffrey Gouweleeuw
Jeffrey Schlupp
Jermain Defoe
Jerome Boateng
Jesse Lingard
Jetro Willems
Jiri Pavlenka
Joao Mario
Joe Allen
Joe Hart
Joel Matip
John Stones
Jonas Hector
Jonas Hofmann
Jonas Lossl
Jonathan Hogg
Jonathan Schmid
Jonathan Tah
Jonjo Shelvey
Jonny Evans
Jordan Ayew
Jordan Henderson
Jordan Pickford
Jordon Ibe
Jorge Mere
Jose Holebas
Jose Izquierdo
Joselu
Joseph Gomez
Joshua Kimmich
Joshua King
Josip Brekalo
Josuha Guilavogui
Juan Mata
Julian Baumgartlinger
Julian Brandt
Julian Korb
Julian Weigl
Kai Havertz
Karim Bellarabi
Karim Rekik
Kasper Schmeichel
Kelechi Iheanacho
Kenan Karaman
Kevin Akpoguma
Kevin De Bruyne
Kevin Kampl
Kevin Vogt
Kevin Volland
Kevin-Prince Boateng
Ki Sung-Yueng
Kieran Gibbs
Kieran Trippier
Kiko Femenia
Kingsley Coman
Koen Casteels
Konrad Laimer
Kurt Zouma
Kyle Naughton
Kyle Walker
Kyriakos Papadopoulos
Lars Bender
Lars Stindl
Laurent Depoitre
Laurent Koscielny
Leighton Baines
Leon Bailey
