player,final_rating_tuned,final_rating_human,final_rating_ai
James Tomkins,8.885645477306083,6.700438674972199,10.582319874414303
Holger Badstuber,8.87695507291931,8.30730615533416,7.216814634038738
Bernd Leno,8.856353582413476,10.871291044249457,3.0390836059326265
Nathan Ake,8.779742552357874,10.66466407333255,7.552935683227645
Shkodran Mustafi,8.778001921399804,4.936889502716733,10.674385433404018
Anthony Knockaert,8.777855118608938,10.967166695172075,7.31162065568472
Felix Klaus,8.758265291012515,6.9605717690665205,7.6751256799223615
Arjen Robben,8.755638589137497,7.617704729516423,9.070145415774514
Rune Jarstein,8.742610882111281,10.881786452309113,2.6811510061584496
Romelu Lukaku,8.735258684350878,8.829948617958502,11.541767285601008
Davinson Sanchez,8.72886593595187,6.588470144124244,6.216116490874002
Leon Goretzka,8.72838156822574,7.121675229351892,8.564915835093286
Ante Rebic,8.724716966015372,9.444182644736575,8.026352240826583
Kai Havertz,8.723206655115332,7.660759641036909,9.101651597168976
Andrew Robertson,8.66244493078319,10.45675304141768,7.3481351338049565
Ralf Fahrmann,8.65100788509086,9.34529257489624,4.341394472524013
Abdoulaye Doucoure,8.637336143014458,7.554244237515501,9.129041635155662
Ilkay Gundogan,8.630636124050906,8.125765190410593,7.88166240318324
Jean-Philippe Gbamin,8.612484048768618,8.915764071716616,8.281779005061274
Ihlas Bebou,8.580601622671097,7.355688491518212,9.178256676704057
Matt Phillips,8.561262546380258,7.814646844226457,6.302169029300966
Kasper Schmeichel,8.551182958660032,7.944606685223079,4.6692531149499175
Daniel Baier,8.541309423717752,9.142797450907528,6.9036284067809355
Gabriel Jesus,8.539014068682622,8.68934687743672,7.388933994928631
Philipp Tschauner,8.520550725106148,11.793535921247209,3.309403049220428
Luis Antonio Valencia,8.507540076602746,6.71477078300762,8.709479197348664
Jonny Evans,8.503035572376872,9.711309603460647,7.143437502295302
Niklas Sule,8.498661468806429,8.317514987011856,6.698409247787152
Christian Pulisic,8.458640975375404,8.349862970044494,9.15137224118136
Steve Cook,8.425392628715127,5.73992045347925,8.06707615266005
Niklas Stark,8.414720445368667,6.886581300517777,8.009673970002263
Ben Foster,8.414549632964537,10.272790386141976,2.817645678827664
Wesley Hoedt,8.39848137656214,8.49568272970534,8.612159025015972
Charles Aranguiz,8.387047604547373,10.003158453179326,7.509531604570776
Pavel Kaderabek,8.379754140163106,8.746751474324784,7.3450941133808865
Kurt Zouma,8.370290695461195,8.058554834210387,9.847691736973667
Caiuby,8.328385430065676,8.187277680778912,9.721284273009012
Laurent Koscielny,8.318289463843524,6.140144153170203,9.069470723945203
Arthur Masuaku,8.272934662234361,8.725519399653413,9.64927722822635
Bernardo Silva,8.267592081067969,7.560683682649304,7.189809727267499
Maya Yoshida,8.232034214378885,8.173928534244011,7.612345433612461
Alex Oxlade-Chamberlain,8.216110100211028,7.574470712277187,10.314592980041322
Max Kruse,8.212937098812123,8.03691135529894,8.664124184452845
Peter Gulacsi,8.185883236812769,13.260322055141339,3.1625121195828405
Joseph Gomez,8.178896842203857,7.350123196224374,8.56215671157324
Pirmin Schwegler,8.169649667682636,6.783833860722998,9.395413000514464
Julian Baumgartlinger,8.157216070661466,7.0479026282329835,6.844979076012982
Oriol Romeu,8.146554936763522,7.08726086234743,8.694866830487713
Hector Bellerin,8.1451191072743,7.6214945443566195,6.018340041929956
Salomon Rondon,8.13097419987681,8.822639694407785,7.005838673074684
Mario Lemina,8.119045391566056,9.22312517654242,8.254571783619427
Emiliano Insua,8.116636943396994,5.307041779242927,7.834552169411399
Alfie Mawson,8.108780281030809,9.244749184549603,6.798518464923701
Ederson,8.097896211415657,9.391091299543397,5.0937685276882245
Waldemar Anton,8.084788091057924,8.712214721524223,8.013635300057828
Diego Demme,8.060385687733081,8.677692063426939,7.23457502368434
Niclas Fullkrug,8.056100993570725,7.62443832402227,9.432986163146651
Per Skjelbred,8.053916998906994,8.752063360556559,5.290507911528989
John Stones,8.037076705262926,8.683505304908696,8.04760025707011
Virgil van Dijk,8.010165542087288,7.49667581807268,9.502483670105521
Lukas Hradecky,7.991608202894408,12.594601997967942,2.643789488285564
Mathew Leckie,7.968068799567403,5.803849103562353,8.347257600658049
