player,minutesPlayed_total,goals_per_min,assists_per_min,shots_ontarget_per_min,shots_offtarget_per_min,shotsblocked_per_min,chances2score_per_min,drib_success_per_min,drib_unsuccess_per_min,keypasses_per_min,touches_per_min,passes_acc_per_min,passes_inacc_per_min,crosses_acc_per_min,crosses_inacc_per_min,lballs_acc_per_min,lballs_inacc_per_min,grduels_w_per_min,grduels_l_per_min,aerials_w_per_min,aerials_l_per_min,poss_lost_per_min,fouls_per_min,wasfouled_per_min,clearances_per_min,stop_shots_per_min,interceptions_per_min,tackles_per_min,dribbled_past_per_min,tballs_acc_per_min,tballs_inacc_per_min,ycards_per_min,rcards_per_min,dangmistakes_per_min,countattack_per_min,offsides_per_min,goals_ag_otb_per_min,goals_ag_itb_per_min,saves_itb_per_min,saves_otb_per_min,saved_pen_per_min,missed_penalties_per_min,owngoals_per_min,degree_centrality_per_min,betweenness_centrality_per_min,closeness_centrality_per_min,flow_centrality_per_min,flow_success_per_min,betweenness2goals_per_min,win_per_min,lost_per_min,is_home_team_per_min,game_duration_per_min,opponent_ranking.1_per_min,primary_pos,final_rating_tuned,final_rating_human,final_rating_ai
Christian Pulisic,2260,0.0017699115044247787,0.003097345132743363,0.00663716814159292,0.009292035398230088,0.0022123893805309734,0.012389380530973451,0.033628318584070796,0.023893805309734513,0.0048672566371681415,0.5486725663716814,0.26327433628318586,0.05221238938053097,0.01327433628318584,0.030530973451327433,0.00663716814159292,0.010619469026548672,0.08451327433628318,0.05398230088495575,0.006194690265486726,0.026106194690265486,0.14601769911504425,0.00663716814159292,0.01327433628318584,0.0017699115044247787,0.0008849557522123894,0.020353982300884955,0.011946902654867256,0.0048672566371681415,0.002654867256637168,0.0048672566371681415,0.0004424778761061947,0.0,0.0004424778761061947,0.023008849557522124,0.0035398230088495575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014337417744690268,0.0018256896384955751,0.008716448921238937,0.0036302816951327434,0.010071305957079646,0.0002500670420353982,0.00663716814159292,0.003097345132743363,0.00663716814159292,1.1946902654867257,0.13053097345132744,fw,8.681290012086402,8.349862970044494,9.15137224118136
Christoph Kramer,2149,0.0013959981386691485,0.0,0.0013959981386691485,0.002326663564448581,0.0018613308515588647,0.0018613308515588647,0.00837598883201489,0.00604932526756631,0.0013959981386691485,0.8296882270823639,0.6142391810144253,0.06840390879478828,0.00046533271288971617,0.004187994416007445,0.041879944160074456,0.021405304792926943,0.057235923685435085,0.05677059097254537,0.011633317822242903,0.013029315960912053,0.10563052582596556,0.02047463936714751,0.012563983248022336,0.011633317822242903,0.002791996277338297,0.0316426244765007,0.026989297347603535,0.011633317822242903,0.003257328990228013,0.006979990693345742,0.002326663564448581,0.0,0.0009306654257794323,0.012563983248022336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01740668204094928,0.002295619352722196,0.009113468354118194,0.005294960644020475,0.008377450986970684,4.3418468124709166e-05,0.0037226617031177293,0.005118659841786877,0.005118659841786877,1.0888785481619359,0.11726384364820847,mf,7.014897888368234,6.854894684579872,7.912193645716139
Christopher Schindler,3299,0.0,0.0,0.0,0.002728099424067899,0.0006062443164595332,0.002121855107608366,0.0003031221582297666,0.0,0.0,0.5722946347377993,0.3501060927553804,0.05789633222188542,0.0,0.0009093664746892998,0.03213094877235526,0.027280994240678993,0.024552894816611093,0.03182782661412549,0.04759017884207335,0.024249772658381328,0.09336162473476811,0.008790542588663231,0.006365565322825098,0.04274022431039709,0.008487420430433464,0.035162170354652925,0.023643528341921793,0.005759321006365566,0.0,0.0009093664746892998,0.002121855107608366,0.0,0.0,0.004546832373446499,0.0003031221582297666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012713809378599577,0.002116428931494392,0.006943544881176114,0.003440267718399515,0.0063323597362837224,1.7830715065171263e-05,0.002728099424067899,0.005456198848135798,0.005759321006365566,1.0093967869051228,0.11397393149439224,df,12.700646268162185,9.025798416704603,10.44050031566359
Ciaran Clark,1925,0.001038961038961039,0.0005194805194805195,0.002077922077922078,0.004155844155844156,0.0005194805194805195,0.005194805194805195,0.003116883116883117,0.0005194805194805195,0.001038961038961039,0.5262337662337663,0.3012987012987013,0.07428571428571429,0.0,0.0015584415584415584,0.057662337662337665,0.04623376623376623,0.01818181818181818,0.03272727272727273,0.027012987012987013,0.024935064935064935,0.11272727272727273,0.009870129870129871,0.007272727272727273,0.05194805194805195,0.005194805194805195,0.024935064935064935,0.012467532467532468,0.0036363636363636364,0.001038961038961039,0.003116883116883117,0.0015584415584415584,0.0,0.0015584415584415584,0.004155844155844156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005194805194805195,0.012091908092987012,0.0020683859812987014,0.006886320352727272,0.0033966245283116887,0.012021545636363637,0.00016738816727272728,0.0025974025974025974,0.005194805194805195,0.005194805194805195,1.0285714285714285,0.13610389610389612,df,4.160816095688706,4.749395965204707,4.418380522717053
Collin Quaner,1353,0.0,0.0029563932002956393,0.003695491500369549,0.008130081300813009,0.0029563932002956393,0.009608277900960829,0.012564671101256468,0.010347376201034738,0.0029563932002956393,0.48484848484848486,0.23133776792313376,0.06356245380635625,0.005912786400591279,0.016260162601626018,0.004434589800443459,0.011825572801182557,0.06134515890613452,0.04212860310421286,0.012564671101256468,0.016260162601626018,0.12490761271249076,0.011825572801182557,0.019955654101995565,0.010347376201034738,0.0007390983000739098,0.028824833702882482,0.007390983000739098,0.012564671101256468,0.0007390983000739098,0.0022172949002217295,0.0029563932002956393,0.0,0.0022172949002217295,0.008130081300813009,0.0029563932002956393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014637395124907613,0.002544737884700665,0.011095819201773835,0.00325921148263119,0.007141137600886918,0.00038099792682926833,0.005173688100517369,0.008869179600886918,0.008869179600886918,1.6629711751662972,0.2025129342202513,mf,2.480751817317225,5.367871023488561,4.799150962964865
Corentin Tolisso,1964,0.003054989816700611,0.0015274949083503055,0.009164969450101833,0.012729124236252547,0.0050916496945010185,0.012219959266802444,0.007128309572301426,0.0015274949083503055,0.004073319755600814,0.8065173116089613,0.6145621181262729,0.06109979633401222,0.003054989816700611,0.006619144602851324,0.03920570264765784,0.012729124236252547,0.04073319755600815,0.03360488798370672,0.011710794297352342,0.01680244399185336,0.09470468431771895,0.012219959266802444,0.022912423625254582,0.0025458248472505093,0.002036659877800407,0.0274949083503055,0.01120162932790224,0.008146639511201629,0.007128309572301426,0.008655804480651732,0.002036659877800407,0.0,0.0010183299389002036,0.015784114052953158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01831035563289206,0.0022976735234215887,0.01055908492311609,0.00512290817107943,0.012786681806008147,0.0002944029562118126,0.012729124236252547,0.0015274949083503055,0.00560081466395112,1.374745417515275,0.15529531568228105,mf,6.251006776498805,5.153787593008221,8.457326351791036
Craig Dawson,2511,0.0007964954201513341,0.0,0.0015929908403026682,0.005177220230983672,0.001991238550378335,0.0035842293906810036,0.0023894862604540022,0.0015929908403026682,0.0023894862604540022,0.5774591796097173,0.25806451612903225,0.08203902827558741,0.007566706491437674,0.009956192751891677,0.039824771007566706,0.039028275587415374,0.03464755077658303,0.04062126642771804,0.05017921146953405,0.027080844285145362,0.12465153325368379,0.015133412982875348,0.008363201911589008,0.030665073675826365,0.008761449621664676,0.03424930306650737,0.025089605734767026,0.00796495420151334,0.0011947431302270011,0.0031859816806053365,0.0023894862604540022,0.0,0.00039824771007566706,0.005575467941059339,0.0015929908403026682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012891920240541616,0.002381903180007965,0.007015506167264038,0.0038361553819195537,0.009342208724810832,6.19496439665472e-05,0.0023894862604540022,0.005177220230983672,0.005575467941059339,1.003584229390681,0.11589008363201912,df,7.949036124873363,5.981047934269515,8.37490595693269
Cuco Martina,1830,0.0,0.001092896174863388,0.000546448087431694,0.001092896174863388,0.0,0.001092896174863388,0.001639344262295082,0.000546448087431694,0.00273224043715847,0.7153005464480874,0.3480874316939891,0.07923497267759563,0.014754098360655738,0.014754098360655738,0.036065573770491806,0.03333333333333333,0.03551912568306011,0.05191256830601093,0.015300546448087432,0.020765027322404372,0.14207650273224043,0.015300546448087432,0.004371584699453552,0.03934426229508197,0.001639344262295082,0.05792349726775956,0.030054644808743168,0.01092896174863388,0.001092896174863388,0.00273224043715847,0.001092896174863388,0.0,0.0,0.008743169398907104,0.000546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013825136612568307,0.002549803743715847,0.007794873503825137,0.004560995277595629,0.007240060283606557,9.016393442622952e-05,0.004371584699453552,0.004918032786885246,0.006557377049180328,1.0327868852459017,0.11639344262295082,df,6.08003735178759,4.222676792350931,8.11233023804578
Dale Stephens,3240,0.0,0.000925925925925926,0.000925925925925926,0.0049382716049382715,0.0021604938271604936,0.0033950617283950617,0.0021604938271604936,0.0021604938271604936,0.00030864197530864197,0.6317901234567901,0.4580246913580247,0.07006172839506172,0.000925925925925926,0.001851851851851852,0.041666666666666664,0.023765432098765433,0.028703703703703703,0.04876543209876543,0.008641975308641974,0.008024691358024692,0.10401234567901235,0.014814814814814815,0.005555555555555556,0.012345679012345678,0.004320987654320987,0.04135802469135803,0.018209876543209876,0.010493827160493827,0.0030864197530864196,0.005555555555555556,0.001851851851851852,0.0,0.001851851851851852,0.011728395061728396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01607821191141975,0.003110168436111111,0.008340084322839506,0.004756502052777778,0.007424914881172839,5.9876736728395054e-05,0.002777777777777778,0.004320987654320987,0.005555555555555556,1.0,0.11512345679012345,mf,7.964559368756689,7.048813246115127,6.108114997994784
Dan Gosling,2284,0.0008756567425569177,0.0,0.0035026269702276708,0.005691768826619965,0.0013134851138353765,0.005691768826619965,0.006567425569176883,0.00394045534150613,0.0,0.5691768826619965,0.3502626970227671,0.08012259194395797,0.0013134851138353765,0.002626970227670753,0.01882661996497373,0.021015761821366025,0.037215411558669004,0.0669877408056042,0.027583187390542906,0.02714535901926445,0.12215411558669002,0.01795096322241681,0.010945709281961471,0.0074430823117338,0.0021891418563922942,0.03371278458844133,0.01576182136602452,0.01576182136602452,0.00043782837127845885,0.0043782837127845885,0.0035026269702276708,0.0,0.002626970227670753,0.0074430823117338,0.0008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014290846340192644,0.002596815167250438,0.00814576823380035,0.003921736194833625,0.008000680683887916,2.5844035901926446e-05,0.00394045534150613,0.004816112084063047,0.005691768826619965,1.1033274956217163,0.12259194395796848,mf,5.1775443901386335,3.9309411436766286,4.72156980112438
Daniel Baier,2547,0.0,0.00039261876717707107,0.0019630938358853552,0.009030231645072634,0.005496662740478995,0.0043188064389477815,0.0039261876717707105,0.0019630938358853552,0.0027483313702394976,0.7632508833922261,0.4738908519827248,0.12406753042795446,0.006674519042010208,0.006674519042010208,0.07263447192775814,0.05221829603455045,0.04240282685512368,0.04907734589713388,0.012171181782489203,0.012956419316843345,0.16725559481743227,0.018060463290145268,0.02120141342756184,0.0176678445229682,0.0015704750687082843,0.045936395759717315,0.020023557126030624,0.009422850412249705,0.002355712603062426,0.010208087946603848,0.002355712603062426,0.0,0.0007852375343541421,0.01060070671378092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016340275351001177,0.0029557248884962703,0.00860342952571653,0.004976314232037691,0.009272696035335688,5.5710435414212796e-05,0.0035335689045936395,0.005104043973301924,0.006281900274833137,1.0247349823321554,0.10522182960345504,mf,8.71637180308759,9.142797450907528,6.903628406780936
Daniel Brosinski,2410,0.0004149377593360996,0.0012448132780082987,0.0012448132780082987,0.008298755186721992,0.004149377593360996,0.0053941908713692945,0.007053941908713693,0.007053941908713693,0.006639004149377593,0.7269709543568464,0.3016597510373444,0.0995850622406639,0.02199170124481328,0.03443983402489627,0.03900414937759336,0.04232365145228216,0.03236514522821577,0.03402489626556016,0.014522821576763486,0.017427385892116183,0.2016597510373444,0.0053941908713692945,0.011618257261410789,0.025311203319502075,0.0033195020746887966,0.030705394190871368,0.011618257261410789,0.007468879668049793,0.0033195020746887966,0.0053941908713692945,0.0,0.0,0.0008298755186721991,0.005809128630705394,0.002074688796680498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013960679708298753,0.002307049911203319,0.008014027699585063,0.004557982180082988,0.01191650032240664,0.00011145143775933609,0.0033195020746887966,0.004979253112033195,0.005809128630705394,1.045643153526971,0.10622406639004149,df,7.037138029602286,5.483002075284518,6.773728492164507
Daniel Caligiuri,2827,0.0021223912274495934,0.002829854969932791,0.005659709939865582,0.004952246197382384,0.0017686593562079944,0.008135833038556774,0.017686593562079942,0.00919702865228157,0.007074637424831978,0.7927131234524231,0.33180049522461974,0.10293597453130528,0.016979129819596747,0.03431199151043509,0.05058365758754864,0.044570215776441456,0.07569862044570216,0.062610541209763,0.012026883622214362,0.007428369296073576,0.19738238415281217,0.013441811107180757,0.013088079235939158,0.012734347364697559,0.0017686593562079944,0.04563141139016626,0.022992571630703926,0.013795542978422356,0.0021223912274495934,0.006013441811107181,0.0014149274849663955,0.0,0.0007074637424831977,0.02122391227449593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013121767985496992,0.0023751287431906616,0.007394509830562434,0.0047812794545454545,0.010120484770781746,0.0001352021131941988,0.006013441811107181,0.002476123098691192,0.005305978068623983,1.0187477891758048,0.11142553944110364,mf,13.487262164917512,8.197453452973463,14.262670801488936
Daniel Didavi,2248,0.00400355871886121,0.002224199288256228,0.00800711743772242,0.013345195729537367,0.003113879003558719,0.016459074733096084,0.006227758007117438,0.004448398576512456,0.00400355871886121,0.5573843416370107,0.31183274021352314,0.07206405693950178,0.00800711743772242,0.02402135231316726,0.013790035587188613,0.019572953736654804,0.055604982206405695,0.04181494661921708,0.008451957295373666,0.016903914590747332,0.1356761565836299,0.01601423487544484,0.020462633451957295,0.00400355871886121,0.0008896797153024911,0.011565836298932384,0.008451957295373666,0.005338078291814947,0.00400355871886121,0.01201067615658363,0.0017793594306049821,0.0,0.0,0.020462633451957295,0.0026690391459074734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01657077353202847,0.0022925249234875445,0.009332968506227758,0.004205238590302491,0.011069696449733097,0.00045614512811387897,0.002224199288256228,0.004448398576512456,0.006227758007117438,1.201067615658363,0.11476868327402136,mf,4.970745543509038,3.1882004950139327,6.439491948814998
Daniel Ginczek,1613,0.0043397396156230625,0.0,0.011159330440173589,0.013019218846869188,0.008679479231246125,0.016119032858028518,0.006199628022318661,0.008679479231246125,0.0018598884066955983,0.3106013639181649,0.12461252324860508,0.04525728456292622,0.0006199628022318661,0.006199628022318661,0.010539367637941723,0.005579665220086794,0.029138251704897707,0.056416615003099815,0.030998140111593304,0.048977061376317424,0.11593304401735896,0.02045877247365158,0.010539367637941723,0.005579665220086794,0.0012399256044637321,0.011159330440173589,0.0024798512089274642,0.007439553626782393,0.0024798512089274642,0.0043397396156230625,0.0018598884066955983,0.0,0.0,0.023558586484810913,0.0049597024178549285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012302741690018599,0.001932032116553007,0.008759524563546187,0.0025593280805951643,0.011206639499690018,0.00043397396218226907,0.008059516429014259,0.0030998140111593306,0.008059516429014259,1.2833230006199627,0.148171109733416,fw,4.725276805133518,5.214529793496409,5.041086802201812
Danilo,1516,0.001978891820580475,0.0006596306068601583,0.004617414248021108,0.007255936675461741,0.0013192612137203166,0.005277044854881266,0.004617414248021108,0.001978891820580475,0.0,0.9551451187335093,0.6899736147757256,0.06266490765171503,0.00395778364116095,0.017150395778364115,0.021767810026385226,0.022427440633245383,0.033641160949868076,0.024406332453825858,0.008575197889182058,0.004617414248021108,0.12005277044854881,0.0079155672823219,0.008575197889182058,0.012532981530343008,0.0032981530343007917,0.022427440633245383,0.016490765171503958,0.010554089709762533,0.0013192612137203166,0.0079155672823219,0.0013192612137203166,0.0,0.002638522427440633,0.009894459102902375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01877748460883905,0.0022538703397097623,0.010572072927440633,0.005753835602242744,0.01597534993205805,0.0003448008265171504,0.010554089709762533,0.0013192612137203166,0.006596306068601583,1.3060686015831136,0.15765171503957784,df,5.163812063013918,6.534559410068653,7.839565332837195
